""	"sequence"	"support"
"1"	"<{0}>"	0.0238095238095238
"2"	"<{10}>"	0.0357142857142857
"3"	"<{100}>"	0.19047619047619
"4"	"<{100007}>"	0.0357142857142857
"5"	"<{100021}>"	0.0238095238095238
"6"	"<{100043}>"	0.0238095238095238
"7"	"<{100048}>"	0.0238095238095238
"8"	"<{100058}>"	0.0476190476190476
"9"	"<{10006}>"	0.0773809523809524
"10"	"<{10007}>"	0.130952380952381
"11"	"<{10008}>"	0.0416666666666667
"12"	"<{100080}>"	0.0238095238095238
"13"	"<{1001}>"	0.0773809523809524
"14"	"<{100119}>"	0.0297619047619048
"15"	"<{10020}>"	0.0238095238095238
"16"	"<{10023}>"	0.261904761904762
"17"	"<{10026}>"	0.0714285714285714
"18"	"<{100261}>"	0.0238095238095238
"19"	"<{100262}>"	0.0238095238095238
"20"	"<{100270}>"	0.0476190476190476
"21"	"<{100320}>"	0.0416666666666667
"22"	"<{10033}>"	0.0595238095238095
"23"	"<{100349}>"	0.0476190476190476
"24"	"<{10035}>"	0.0357142857142857
"25"	"<{100352}>"	0.0238095238095238
"26"	"<{10036}>"	0.19047619047619
"27"	"<{100389}>"	0.0238095238095238
"28"	"<{10039}>"	0.0714285714285714
"29"	"<{1004}>"	0.113095238095238
"30"	"<{10040}>"	0.18452380952381
"31"	"<{100409}>"	0.0238095238095238
"32"	"<{100412}>"	0.0238095238095238
"33"	"<{100414}>"	0.0238095238095238
"34"	"<{100417}>"	0.0297619047619048
"35"	"<{100425}>"	0.0297619047619048
"36"	"<{100430}>"	0.0476190476190476
"37"	"<{100437}>"	0.0238095238095238
"38"	"<{10044}>"	0.0476190476190476
"39"	"<{100443}>"	0.0238095238095238
"40"	"<{100453}>"	0.0238095238095238
"41"	"<{100456}>"	0.0476190476190476
"42"	"<{10048}>"	0.0357142857142857
"43"	"<{10049}>"	0.130952380952381
"44"	"<{1005}>"	0.0595238095238095
"45"	"<{10050}>"	0.0297619047619048
"46"	"<{100538}>"	0.0238095238095238
"47"	"<{100588}>"	0.0238095238095238
"48"	"<{1006}>"	0.0238095238095238
"49"	"<{100610}>"	0.107142857142857
"50"	"<{100613}>"	0.0595238095238095
"51"	"<{100618}>"	0.0238095238095238
"52"	"<{1007}>"	0.0238095238095238
"53"	"<{100716}>"	0.0238095238095238
"54"	"<{100725}>"	0.0297619047619048
"55"	"<{100729}>"	0.0238095238095238
"56"	"<{10073}>"	0.0238095238095238
"57"	"<{10075}>"	0.0654761904761905
"58"	"<{100757}>"	0.0535714285714286
"59"	"<{100780}>"	0.0357142857142857
"60"	"<{100800}>"	0.0654761904761905
"61"	"<{100838}>"	0.0297619047619048
"62"	"<{10084}>"	0.0238095238095238
"63"	"<{100858}>"	0.0297619047619048
"64"	"<{100861}>"	0.0238095238095238
"65"	"<{100876}>"	0.0238095238095238
"66"	"<{10088}>"	0.0297619047619048
"67"	"<{100894}>"	0.0535714285714286
"68"	"<{10090}>"	0.0714285714285714
"69"	"<{100902}>"	0.0357142857142857
"70"	"<{100905}>"	0.0297619047619048
"71"	"<{100909}>"	0.0238095238095238
"72"	"<{10091}>"	0.0238095238095238
"73"	"<{100977}>"	0.0297619047619048
"74"	"<{100999}>"	0.0238095238095238
"75"	"<{1010}>"	0.0654761904761905
"76"	"<{101015}>"	0.0297619047619048
"77"	"<{10102}>"	0.0892857142857143
"78"	"<{101047}>"	0.0357142857142857
"79"	"<{101058}>"	0.0238095238095238
"80"	"<{1011}>"	0.0595238095238095
"81"	"<{10111}>"	0.0416666666666667
"82"	"<{101140}>"	0.0238095238095238
"83"	"<{101141}>"	0.0357142857142857
"84"	"<{101146}>"	0.0297619047619048
"85"	"<{1012}>"	0.0773809523809524
"86"	"<{10121}>"	0.0238095238095238
"87"	"<{10122}>"	0.107142857142857
