TPOSE SEQ NOF2 /var/folders/y7/vgczmyzn50bc90tzq35m6zq80000gn/T//Rtmp0Ok7bk/cspade59248d67329.data 0.010000 168 2 2 F1stats = [ 43424 0 0 0.353947 ] 0.367130 0.159537 0.936570
CONF 168 269006 11.2639 287.44
MINSUPPORT 2 168
MINMAX 1 169
1 SUPP 4
2 SUPP 6
3 SUPP 32
9 SUPP 3
10 SUPP 3
13 SUPP 6
23 SUPP 3
27 SUPP 2
29 SUPP 4
30 SUPP 2
35 SUPP 2
42 SUPP 2
44 SUPP 2
53 SUPP 4
56 SUPP 2
58 SUPP 4
69 SUPP 8
71 SUPP 13
82 SUPP 22
84 SUPP 2
85 SUPP 2
89 SUPP 2
92 SUPP 2
93 SUPP 7
94 SUPP 4
101 SUPP 3
115 SUPP 13
123 SUPP 2
124 SUPP 2
128 SUPP 2
137 SUPP 5
140 SUPP 2
143 SUPP 3
156 SUPP 2
158 SUPP 2
159 SUPP 3
166 SUPP 3
167 SUPP 2
170 SUPP 2
175 SUPP 2
178 SUPP 3
181 SUPP 2
189 SUPP 2
193 SUPP 2
211 SUPP 2
218 SUPP 3
225 SUPP 3
227 SUPP 4
231 SUPP 3
236 SUPP 2
242 SUPP 2
246 SUPP 2
247 SUPP 2
249 SUPP 2
252 SUPP 2
255 SUPP 2
256 SUPP 3
260 SUPP 44
265 SUPP 3
269 SUPP 2
270 SUPP 3
271 SUPP 3
287 SUPP 2
291 SUPP 2
293 SUPP 12
295 SUPP 4
296 SUPP 4
297 SUPP 2
299 SUPP 3
305 SUPP 8
343 SUPP 2
344 SUPP 2
352 SUPP 2
355 SUPP 2
358 SUPP 2
361 SUPP 7
363 SUPP 3
371 SUPP 10
377 SUPP 2
382 SUPP 2
389 SUPP 3
392 SUPP 8
393 SUPP 6
395 SUPP 2
396 SUPP 4
404 SUPP 32
412 SUPP 2
414 SUPP 3
420 SUPP 3
424 SUPP 2
429 SUPP 2
431 SUPP 2
433 SUPP 2
436 SUPP 4
437 SUPP 12
446 SUPP 2
448 SUPP 19
449 SUPP 31
456 SUPP 2
459 SUPP 4
463 SUPP 4
464 SUPP 2
465 SUPP 4
468 SUPP 5
470 SUPP 3
471 SUPP 2
477 SUPP 5
483 SUPP 8
490 SUPP 4
493 SUPP 8
497 SUPP 4
504 SUPP 2
508 SUPP 4
511 SUPP 8
515 SUPP 3
526 SUPP 3
529 SUPP 3
531 SUPP 3
537 SUPP 6
538 SUPP 2
542 SUPP 2
548 SUPP 22
550 SUPP 2
554 SUPP 2
559 SUPP 10
560 SUPP 5
567 SUPP 2
569 SUPP 3
572 SUPP 2
582 SUPP 2
593 SUPP 3
598 SUPP 2
601 SUPP 2
602 SUPP 4
603 SUPP 2
608 SUPP 3
610 SUPP 2
614 SUPP 2
624 SUPP 2
626 SUPP 2
638 SUPP 2
644 SUPP 3
645 SUPP 2
657 SUPP 4
659 SUPP 2
664 SUPP 2
669 SUPP 2
670 SUPP 4
677 SUPP 3
679 SUPP 3
683 SUPP 18
686 SUPP 10
691 SUPP 4
696 SUPP 2
702 SUPP 3
705 SUPP 2
709 SUPP 2
729 SUPP 3
732 SUPP 2
744 SUPP 2
745 SUPP 3
752 SUPP 3
756 SUPP 2
768 SUPP 2
772 SUPP 3
773 SUPP 2
776 SUPP 2
778 SUPP 3
781 SUPP 4
783 SUPP 2
792 SUPP 2
794 SUPP 2
800 SUPP 4
807 SUPP 2
808 SUPP 2
810 SUPP 5
811 SUPP 2
814 SUPP 4
815 SUPP 4
822 SUPP 2
826 SUPP 2
835 SUPP 2
837 SUPP 11
840 SUPP 2
841 SUPP 2
844 SUPP 2
845 SUPP 9
857 SUPP 2
860 SUPP 2
863 SUPP 2
870 SUPP 3
871 SUPP 6
890 SUPP 3
891 SUPP 2
894 SUPP 11
901 SUPP 3
902 SUPP 2
903 SUPP 2
905 SUPP 2
906 SUPP 2
907 SUPP 2
908 SUPP 2
909 SUPP 3
910 SUPP 2
911 SUPP 2
912 SUPP 2
935 SUPP 5
936 SUPP 2
937 SUPP 4
938 SUPP 3
939 SUPP 2
946 SUPP 2
957 SUPP 5
961 SUPP 4
973 SUPP 2
977 SUPP 4
978 SUPP 2
981 SUPP 5
983 SUPP 2
987 SUPP 2
992 SUPP 2
997 SUPP 9
1001 SUPP 2
1002 SUPP 2
1004 SUPP 12
1005 SUPP 2
