DATE,VALUE
2000-01-03,2.01550
2000-01-04,-1.36778
2000-01-05,2.00308
2000-01-06,-0.75529
2000-01-07,-0.76104
2000-01-10,0.76687
2000-01-11,1.52207
2000-01-12,0.74963
2000-01-13,-1.33929
2000-01-14,0.90498
2000-01-17,.
2000-01-18,.
2000-01-19,-0.29630
2000-01-20,0.89153
2000-01-21,0.00000
2000-01-24,-1.47275
2000-01-25,0.14948
2000-01-26,-0.14925
2000-01-27,-0.14948
2000-01-28,-0.29940
2000-01-31,0.30030
2000-02-01,-0.89820
2000-02-02,-0.30211
2000-02-03,-1.66667
2000-02-04,0.61633
2000-02-07,1.68453
2000-02-08,-0.75301
2000-02-09,-0.45524
2000-02-10,1.67683
2000-02-11,-0.59970
2000-02-14,-1.05581
2000-02-15,0.00000
2000-02-16,0.00000
2000-02-17,0.30488
2000-02-18,-1.36778
2000-02-21,.
2000-02-22,.
2000-02-23,1.25786
2000-02-24,-1.24224
2000-02-25,0.00000
2000-02-28,0.15723
2000-02-29,0.78493
2000-03-01,-0.46729
2000-03-02,0.15649
2000-03-03,-0.15625
2000-03-06,0.46948
2000-03-07,-0.46729
2000-03-08,-0.15649
2000-03-09,-0.47022
2000-03-10,0.62992
2000-03-13,-0.46948
2000-03-14,-0.78616
2000-03-15,-0.31696
2000-03-16,-0.47695
2000-03-17,-0.95847
2000-03-20,-0.32258
2000-03-21,-0.80906
2000-03-22,0.00000
2000-03-23,-0.81566
2000-03-24,1.97368
2000-03-27,0.16129
2000-03-28,-0.64412
2000-03-29,0.16207
2000-03-30,-1.94175
2000-03-31,-0.49505
2000-04-03,-0.49751
2000-04-04,-1.66667
2000-04-05,0.00000
2000-04-06,0.50847
2000-04-07,-1.18044
2000-04-10,-1.02389
2000-04-11,1.55172
2000-04-12,1.35823
2000-04-13,-0.50251
2000-04-14,-1.51515
2000-04-17,2.73504
2000-04-18,0.66556
2000-04-19,-0.99174
2000-04-20,0.00000
2000-04-21,.
2000-04-24,.
2000-04-25,2.33333
2000-04-26,0.00000
2000-04-27,1.46580
2000-04-28,0.00000
2000-05-01,0.96308
2000-05-02,0.47695
2000-05-03,1.26582
2000-05-04,0.93750
2000-05-05,0.77399
2000-05-08,0.92166
2000-05-09,-0.60883
2000-05-10,-0.91884
2000-05-11,-0.61824
2000-05-12,1.24417
2000-05-15,-0.61444
2000-05-16,-0.61824
2000-05-17,0.77760
2000-05-18,1.23457
2000-05-19,-0.76220
2000-05-22,-1.07527
2000-05-23,0.15528
2000-05-24,0.31008
2000-05-25,-1.23648
2000-05-26,-0.93897
2000-05-29,.
2000-05-30,.
2000-05-31,-1.41066
2000-06-01,-1.43084
2000-06-02,-0.80645
2000-06-05,-0.48780
2000-06-06,0.32680
2000-06-07,-0.16287
2000-06-08,0.00000
2000-06-09,0.00000
2000-06-12,-0.65253
2000-06-13,0.32841
2000-06-14,-0.81833
2000-06-15,-0.16502
2000-06-16,-0.99174
2000-06-19,0.16694
2000-06-20,0.50000
2000-06-21,1.32670
2000-06-22,0.16367
2000-06-23,1.14379
2000-06-26,-1.29241
2000-06-27,-0.16367
2000-06-28,0.16393
2000-06-29,-1.14566
2000-06-30,-0.16556
2000-07-03,-0.49751
2000-07-04,.
2000-07-05,.
2000-07-06,1.00167
2000-07-07,-0.66116
2000-07-10,0.49917
2000-07-11,0.33113
2000-07-12,0.49505
2000-07-13,-1.31363
2000-07-14,1.49750
2000-07-17,1.14754
2000-07-18,-0.16207
2000-07-19,0.00000
2000-07-20,-2.43506
2000-07-21,0.00000
2000-07-24,0.49917
2000-07-25,0.00000
2000-07-26,0.00000
2000-07-27,-0.33113
2000-07-28,0.33223
2000-07-31,0.00000
2000-08-01,-0.66225
2000-08-02,-0.33333
2000-08-03,-0.50167
2000-08-04,-0.67227
2000-08-07,1.01523
2000-08-08,-0.67002
2000-08-09,-2.02361
2000-08-10,-0.86059
2000-08-11,0.52083
2000-08-14,-0.17271
2000-08-15,0.51903
2000-08-16,0.34423
2000-08-17,-0.34305
2000-08-18,-0.51635
2000-08-21,0.17301
2000-08-22,-0.17271
2000-08-23,-0.86505
2000-08-24,0.00000
2000-08-25,0.00000
2000-08-28,0.87260
2000-08-29,0.51903
2000-08-30,0.00000
2000-08-31,-1.37694
2000-09-01,-0.87260
2000-09-04,.
2000-09-05,.
2000-09-06,0.52724
2000-09-07,0.69930
2000-09-08,-0.52083
2000-09-11,0.69808
2000-09-12,0.17331
2000-09-13,-0.69204
2000-09-14,0.87108
2000-09-15,0.86356
2000-09-18,0.68493
2000-09-19,-0.34014
2000-09-20,0.85324
2000-09-21,-0.50761
2000-09-22,-0.51020
2000-09-25,-0.17094
2000-09-26,-0.51370
2000-09-27,0.34423
2000-09-28,-0.17153
2000-09-29,-0.34364
2000-10-02,0.51724
2000-10-03,0.68611
2000-10-04,0.51107
2000-10-05,-0.50847
2000-10-06,-0.85179
2000-10-09,.
2000-10-10,.
2000-10-11,-0.51724
2000-10-12,-0.69324
2000-10-13,0.00000
2000-10-16,0.17452
2000-10-17,-1.04530
2000-10-18,-0.35211
2000-10-19,0.00000
2000-10-20,-0.35336
2000-10-23,-0.88652
2000-10-24,0.71556
2000-10-25,0.71048
2000-10-26,0.35273
2000-10-27,0.52724
2000-10-30,0.34965
2000-10-31,0.52265
2000-11-01,-0.51993
2000-11-02,0.00000
2000-11-03,1.56794
2000-11-06,0.68611
2000-11-07,0.00000
2000-11-08,0.00000
2000-11-09,-0.85179
2000-11-10,0.00000
2000-11-13,-0.85911
2000-11-14,-0.17331
2000-11-15,-0.69444
2000-11-16,-0.69930
2000-11-17,0.52817
2000-11-20,-0.52539
2000-11-21,-0.17606
2000-11-22,-0.88183
2000-11-23,.
2000-11-24,.
2000-11-27,0.17762
2000-11-28,-0.88652
2000-11-29,-0.71556
2000-11-30,-1.26126
2000-12-01,0.72993
2000-12-04,0.18116
2000-12-05,-1.80832
2000-12-06,-2.02578
2000-12-07,0.00000
2000-12-08,0.56391
2000-12-11,0.37383
2000-12-12,-0.18622
2000-12-13,-1.30597
2000-12-14,-1.13422
2000-12-15,-0.57361
2000-12-18,-0.57692
2000-12-19,0.38685
2000-12-20,-2.11946
2000-12-21,-0.98425
2000-12-22,-0.19881
2000-12-25,.
2000-12-26,.
2000-12-27,1.38889
2000-12-28,0.39139
2000-12-29,-0.19493
2001-01-01,.
2001-01-02,.
2001-01-03,4.47154
2001-01-04,-2.14008
2001-01-05,-1.98807
2001-01-08,0.20284
2001-01-09,0.80972
2001-01-10,2.40964
2001-01-11,0.78431
2001-01-12,2.14008
2001-01-15,.
2001-01-16,.
2001-01-17,-0.95420
2001-01-18,-1.34875
2001-01-19,1.36719
2001-01-22,1.15607
2001-01-23,0.95238
2001-01-24,0.56604
2001-01-25,-0.75047
2001-01-26,0.00000
2001-01-29,0.56711
2001-01-30,-1.50376
2001-01-31,-0.95420
2001-02-01,-1.73410
2001-02-02,1.37255
2001-02-05,0.19342
2001-02-06,0.77220
2001-02-07,-2.29885
2001-02-08,0.00000
2001-02-09,-1.37255
2001-02-12,0.39761
2001-02-13,0.39604
2001-02-14,1.18343
2001-02-15,1.16959
2001-02-16,-1.54143
2001-02-19,.
2001-02-20,.
2001-02-21,0.58708
2001-02-22,0.19455
2001-02-23,-0.97087
2001-02-26,-0.98039
2001-02-27,-1.78218
2001-02-28,-0.80645
2001-03-01,-1.01626
2001-03-02,1.64271
2001-03-05,0.60606
2001-03-06,0.20080
2001-03-07,-1.40281
2001-03-08,-0.60976
2001-03-09,1.22699
2001-03-12,-0.60606
2001-03-13,0.60976
2001-03-14,-2.22222
2001-03-15,-0.61983
2001-03-16,-0.62370
2001-03-19,0.83682
2001-03-20,-0.82988
2001-03-21,-0.20921
2001-03-22,-0.83857
2001-03-23,1.47992
2001-03-26,1.04167
2001-03-27,3.09278
2001-03-28,-0.60000
2001-03-29,0.20121
2001-03-30,-1.00402
2001-04-02,1.01420
2001-04-03,-0.80321
2001-04-04,0.00000
2001-04-05,0.80972
2001-04-06,-1.80723
2001-04-09,0.81800
2001-04-10,3.24544
2001-04-11,0.58939
2001-04-12,0.97656
2001-04-13,.
2001-04-16,.
2001-04-17,-1.32576
2001-04-18,-1.34357
2001-04-19,2.52918
2001-04-20,0.37951
2001-04-23,-1.70132
2001-04-24,0.38462
2001-04-25,1.14943
2001-04-26,-1.51515
2001-04-27,2.69231
2001-04-30,0.18727
2001-05-01,-0.93458
2001-05-02,0.18868
2001-05-03,-1.69492
2001-05-04,-0.19157
2001-05-07,0.00000
2001-05-08,0.57582
2001-05-09,-0.76336
2001-05-10,2.11538
2001-05-11,3.76648
2001-05-14,-0.90744
2001-05-15,0.73260
2001-05-16,-0.36364
2001-05-17,-0.36496
2001-05-18,-0.91575
2001-05-21,0.00000
2001-05-22,0.18484
2001-05-23,-0.18450
2001-05-24,2.03327
2001-05-25,0.00000
2001-05-28,.
2001-05-29,.
2001-05-30,0.00000
2001-05-31,-1.98556
2001-06-01,-0.73665
2001-06-04,-0.74212
2001-06-05,-1.12150
2001-06-06,-0.37807
2001-06-07,1.13852
2001-06-08,0.93809
2001-06-11,-1.11524
2001-06-12,-0.93985
2001-06-13,0.18975
2001-06-14,-0.37879
