DATE                                      VALUE
1979-01-02                                    .
1979-01-03                             -0.21786
1979-01-04                             -0.54585
1979-01-05                             -0.10977
1979-01-08                              0.43956
1979-01-09                              0.21882
1979-01-10                              0.00000
1979-01-11                             -0.10917
1979-01-12                             -0.10929
1979-01-15                              0.10941
1979-01-16                              0.10929
1979-01-17                              0.21834
1979-01-18                              0.00000
1979-01-19                             -0.32680
1979-01-22                             -0.32787
1979-01-23                             -0.21930
1979-01-24                             -0.21978
1979-01-25                             -1.10132
1979-01-26                             -0.55679
1979-01-29                              0.33595
1979-01-30                             -0.11161
1979-01-31                              0.00000
1979-02-01                             -0.11173
1979-02-02                             -0.55928
1979-02-05                              0.67492
1979-02-06                              0.55866
1979-02-07                              1.00000
1979-02-08                              0.00000
1979-02-09                              0.22002
1979-02-12                                    .
1979-02-13                                    .
1979-02-14                              0.10977
1979-02-15                              0.00000
1979-02-16                             -0.10965
1979-02-19                                    .
1979-02-20                                    .
1979-02-21                              0.32895
1979-02-22                              0.54645
1979-02-23                              0.10870
1979-02-26                             -0.10858
1979-02-27                             -0.10870
1979-02-28                             -0.21763
1979-03-01                              0.00000
1979-03-02                             -0.10905
1979-03-05                             -0.54585
1979-03-06                              0.32931
1979-03-07                             -0.43764
1979-03-08                              0.00000
1979-03-09                              0.10989
1979-03-12                              0.00000
1979-03-13                              0.00000
1979-03-14                              0.10977
1979-03-15                              0.21930
1979-03-16                             -0.21882
1979-03-19                              0.00000
1979-03-20                              0.10965
1979-03-21                              0.00000
1979-03-22                             -0.10953
1979-03-23                              0.00000
1979-03-26                              0.00000
1979-03-27                             -0.10965
1979-03-28                             -0.43908
1979-03-29                             -0.11025
1979-03-30                              0.55188
1979-04-02                              0.00000
1979-04-03                             -0.10977
1979-04-04                             -0.10989
1979-04-05                             -0.22002
1979-04-06                              0.33076
1979-04-09                              0.43956
1979-04-10                              0.32823
1979-04-11                              0.32715
1979-04-12                              0.00000
1979-04-13                                    .
1979-04-16                                    .
1979-04-17                             -0.32644
1979-04-18                             -0.10917
1979-04-19                              0.00000
1979-04-20                              0.43716
1979-04-23                              0.21763
1979-04-24                              0.32573
1979-04-25                             -0.10823
1979-04-26                              0.43337
1979-04-27                              0.53937
1979-04-30                              0.32189
1979-05-01                              0.10695
1979-05-02                             -0.21368
1979-05-03                              0.42827
1979-05-04                              0.10661
1979-05-07                              0.00000
1979-05-08                             -0.10650
1979-05-09                             -0.21322
1979-05-10                              0.00000
1979-05-11                             -0.21368
1979-05-14                             -0.42827
1979-05-15                              0.21505
1979-05-16                             -0.10730
1979-05-17                             -0.75188
1979-05-18                             -0.10823
1979-05-21                              0.10834
1979-05-22                             -0.97403
1979-05-23                             -0.87432
1979-05-24                             -0.11025
1979-05-25                             -0.55188
1979-05-28                                    .
1979-05-29                                    .
1979-05-30                                    .
1979-05-31                                    .
1979-06-01                             -0.11038
1979-06-04                              0.11050
1979-06-05                             -0.44150
1979-06-06                             -0.55432
1979-06-07                             -0.89186
1979-06-08                              0.11249
1979-06-11                              0.44944
1979-06-12                             -1.67785
1979-06-13                              0.45506
1979-06-14                              0.45300
1979-06-15                              1.01466
1979-06-18                             -0.11161
1979-06-19                              0.00000
1979-06-20                             -0.11173
1979-06-21                             -0.11186
1979-06-22                              0.55991
1979-06-25                             -0.55679
1979-06-26                             -1.23180
1979-06-27                             -0.22676
1979-06-28                              0.00000
1979-06-29                              0.11364
1979-07-02                             -0.56754
1979-07-03                              0.11416
1979-07-04                                    .
1979-07-05                                    .
1979-07-06                              0.22727
1979-07-09                              0.45351
1979-07-10                              0.67720
1979-07-11                              0.56054
1979-07-12                             -0.22297
1979-07-13                             -0.11173
1979-07-16                              0.55928
1979-07-17                              0.22247
1979-07-18                              0.22198
1979-07-19                              0.11074
1979-07-20                             -0.66372
1979-07-23                              0.55679
1979-07-24                              0.33223
1979-07-25                             -0.77263
1979-07-26                             -0.22247
1979-07-27                              0.55741
1979-07-30                              0.11086
1979-07-31                             -0.22148
1979-08-01                             -0.22198
1979-08-02                             -0.88988
1979-08-03                              0.11223
1979-08-06                             -0.11211
1979-08-07                              0.00000
1979-08-08                              0.22447
1979-08-09                              0.44793
1979-08-10                              0.33445
1979-08-13                              0.00000
1979-08-14                             -0.22222
1979-08-15                              0.22272
1979-08-16                              0.00000
1979-08-17                              0.11111
1979-08-20                              0.11099
1979-08-21                              0.22173
1979-08-22                              0.00000
1979-08-23                              0.11062
1979-08-24                              0.99448
1979-08-27                             -0.21882
1979-08-28                              0.32895
1979-08-29                             -0.10929
1979-08-30                              0.76586
1979-08-31                              0.32573
1979-09-03                                    .
1979-09-04                                    .
1979-09-05                              0.00000
1979-09-06                              0.32189
1979-09-07                             -0.10695
1979-09-10                              0.21413
1979-09-11                             -1.17521
1979-09-12                              0.54054
1979-09-13                              0.43011
1979-09-14                             -0.53533
1979-09-17                              0.86114
1979-09-18                             -0.10672
1979-09-19                             -0.53419
1979-09-20                             -0.21482
1979-09-21                             -0.32293
1979-09-24                              0.86393
1979-09-25                             -0.21413
1979-09-26                              0.42918
1979-09-27                              0.85470
1979-09-28                              0.00000
1979-10-01                              0.74153
1979-10-02                             -0.42061
1979-10-03                              0.31679
1979-10-04                              0.84211
1979-10-05                              0.20877
1979-10-08                                    .
1979-10-09                                    .
1979-10-10                              1.61128
1979-10-11                              0.79286
1979-10-12                             -0.19666
1979-10-15                              1.57635
1979-10-16                             -0.38797
1979-10-17                             -0.68160
1979-10-18                              2.05882
1979-10-19                              2.59366
1979-10-22                              2.62172
1979-10-23                              0.54745
1979-10-24                             -1.72414
1979-10-25                              1.38504
1979-10-26                             -2.82332
1979-10-29                              1.03093
1979-10-30                             -0.27829
1979-10-31                             -0.27907
1979-11-01                              0.65299
1979-11-02                              0.46339
1979-11-05                              0.09225
1979-11-06                                    .
1979-11-07                                    .
1979-11-08                             -0.36364
1979-11-09                             -2.55474
1979-11-12                                    .
1979-11-13                                    .
1979-11-14                              1.12888
1979-11-15                             -1.20930
1979-11-16                              1.41243
1979-11-19                              0.27855
1979-11-20                             -0.18519
1979-11-21                             -0.46382
1979-11-22                                    .
1979-11-23                                    .
1979-11-26                             -1.33206
1979-11-27                             -1.25362
1979-11-28                              1.26953
1979-11-29                             -0.28930
1979-11-30                              0.38685
1979-12-03                              0.57803
1979-12-04                             -1.14943
1979-12-05                             -0.48450
1979-12-06                             -1.36319
1979-12-07                              1.67818
1979-12-10                             -0.29126
1979-12-11                              1.85005
1979-12-12                              1.14723
1979-12-13                             -0.66163
1979-12-14                             -0.57088
1979-12-17                             -0.28708
1979-12-18                             -0.76775
1979-12-19                             -0.09671
1979-12-20                              0.48403
1979-12-21                              0.09634
1979-12-24                              0.57748
1979-12-25                                    .
1979-12-26                                    .
1979-12-27                             -0.19084
1979-12-28                             -0.47801
